"id","air_conditioning","amenities","balconies","barrier_free_accessibilty_entr","bike_parking","exterior_fire_escape","fire_alarm","garbage_chutes","heating_type","intercom","laundry_room","locker_or_storage_room","no_of_elevators","parking_type","pets_allowed","prop_management_company_name","property_type","rsn","separate_gas_meters","separate_hydro_meters","separate_water_meters","site_address","sprinkler_system","visitor_parking","ward","window_type","year_built","year_registered","no_of_storeys","emergency_power","non-smoking_building","no_of_units","no_of_accessible_parking_spaces","facilities_available","cooling_room","no_barrier_free_accessible_units","age_build"
10962,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Surface Parking","NO","WESTDALE PROPERTIES","PRIVATE",4154557,"NO","YES","NO","42  SARANAC BLVD","NO","PAID","08","DOUBLE PANE",1960,2017,3,"YES","NO",28,0,"Recycling bins","NO",0,"Post 1950"
10963,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Surface Parking","YES","TCH","TCHC",4154558,"NO","NO","NO","3174  BATHURST ST","YES","PAID","08","DOUBLE PANE",1983,2017,12,"YES","YES",181,2,"Green Bin / Organics","NO",2,"Post 1950"
10964,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","NO","YES","NO",0,"Surface Parking","YES",NA,"PRIVATE",4155036,"NO","NO","NO","560  OAKWOOD AVE","NO","FREE","12","DOUBLE PANE",1960,2017,3,"NO","NO",24,2,"Unknown","NO",0,"Post 1950"
10965,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Surface Parking","YES","2478443 ONTARIO LTD.","PRIVATE",4155050,"NO","NO","NO","836  ROSELAWN AVE","NO","UNAVAILABLE","08","DOUBLE PANE",1965,2017,3,"NO","NO",26,0,"Green Bin / Organics","NO",0,"Post 1950"
10966,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",1,"Surface Parking","YES","KPM","PRIVATE",4155054,"NO","YES","NO","1030  CASTLEFIELD AVE","NO","FREE","08","DOUBLE PANE",1956,2017,5,"YES","NO",56,0,"Recycling bins","NO",0,"Post 1950"
10967,"NONE","Indoor pool , Indoor exercise room , Sauna","YES","YES","15 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Garage accessible thru buildg","YES",NA,"PRIVATE",4155062,"NO","YES","NO","370  RIDELLE AVE","YES","FREE","08","DOUBLE PANE",1965,2017,28,"YES","NO",214,0,"Green Bin / Organics","NO",0,"Post 1950"
10968,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Surface Parking","NO",NA,"PRIVATE",4155064,"NO","NO","NO","3  THORNTON AVE","NO","UNAVAILABLE","09","DOUBLE PANE",1960,2017,3,"NO","NO",17,0,"Green Bin / Organics","NO",0,"Post 1950"
10969,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","FORCED AIR GAS","YES","YES","YES",1,"Ground Level Garage , Carport , Surface Parking","YES","GREENWIN INC.","PRIVATE",4155554,"NO","YES","NO","45  FORTY SECOND ST","YES","FREE","03","DOUBLE PANE",1963,2017,4,"NO","NO",53,54,"Green Bin / Organics","NO",0,"Post 1950"
10970,"NONE","Indoor recreation room","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Surface Parking","YES",NA,"TCHC",4155561,"NO","NO","NO","1  FIRVALLEY CRT","YES","BOTH","20","DOUBLE PANE",1962,2017,12,"YES","YES",115,4,"Unknown","NO",3,"Post 1950"
10971,"NONE","Indoor recreation room","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"TCHC",4155569,"NO","NO","NO","6  GLAMORGAN AVE","YES","BOTH","21","DOUBLE PANE",1971,2017,12,"YES","YES",184,6,"Unknown","NO",1,"Post 1950"
10972,"CENTRAL AIR","Indoor pool , Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Sauna","NO","YES","20 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking , Parking Deck","YES",NA,"PRIVATE",4156532,"NO","YES","NO","53  WIDDICOMBE HILL BLVD","YES","FREE","02","THERMAL",1975,2017,18,"YES","NO",139,4,"Green Bin / Organics","YES",8,"Post 1950"
10973,"NONE",NA,"YES","YES","0 indoor parking spots and 14 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4156580,"NO","YES","NO","1200  YORK MILLS RD","YES","FREE","16","DOUBLE PANE",1967,2017,16,"YES","NO",222,15,"Green Bin / Organics","NO",222,"Post 1950"
10974,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","FORCED AIR GAS","YES","YES","YES",2,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking , Parking Deck","YES","SUMMIT HOLDINGS","PRIVATE",4156583,"NO","YES","NO","60  CALLOWHILL DR","YES","FREE","02","DOUBLE PANE",1968,2017,12,"YES","NO",141,3,"Green Bin / Organics","NO",0,"Post 1950"
10975,"NONE",NA,"NO","NO","Not Available","YES","YES","NO","HOT WATER","YES","YES","YES",0,"Surface Parking","YES",NA,"PRIVATE",4156586,"NO","YES","NO","855  MILLWOOD RD","NO","UNAVAILABLE","15","DOUBLE PANE",1960,2017,3,"NO","YES",22,0,"Green Bin / Organics","NO",0,"Post 1950"
10976,"NONE","Indoor exercise room","YES","YES","5 indoor parking spots and 5 outdoor parking spots","NO","YES","YES","FORCED AIR GAS","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Carport , Surface Parking","YES",NA,"PRIVATE",4153814,"NO","YES","NO","368  EGLINTON AVE E","YES","PAID","15","DOUBLE PANE",1969,2017,13,"NO","NO",149,4,"Green Bin / Organics","YES",1,"Post 1950"
10977,"NONE",NA,"YES","NO","21 indoor parking spots and 0 outdoor parking spots","YES","YES","NO","HOT WATER","YES","YES","YES",2,"Underground Garage , Surface Parking","NO",NA,"PRIVATE",4153821,"NO","YES","NO","250  ROEHAMPTON AVE","YES","FREE","12","DOUBLE PANE",1963,2017,11,"YES","NO",91,0,"Recycling bins","NO",0,"Post 1950"
10978,"NONE",NA,"YES","NO","15 indoor parking spots and 0 outdoor parking spots","NO","NO","NO","HOT WATER","YES","YES","YES",1,"Ground Level Garage , Surface Parking","YES","109 ERSKINE INC","PRIVATE",4153832,"NO","YES","NO","109  ERSKINE AVE","YES","FREE","15","DOUBLE PANE",1947,2017,4,"NO","YES",34,19,"Green Bin / Organics","NO",0,"1935-1950"
10979,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Surface Parking","YES",NA,"PRIVATE",4154562,"NO","YES","NO","10  SARANAC BLVD","NO","UNAVAILABLE","08","SINGLE PANE",1954,2017,4,"YES","NO",26,0,"Green Bin / Organics","NO",0,"Post 1950"
10980,"NONE",NA,"NO","NO","0 indoor parking spots and 2 outdoor parking spots","YES","YES","NO","HOT WATER","YES","YES","NO",0,"Ground Level Garage , Surface Parking","NO","626114/5 ONTARIO LTD","PRIVATE",4154564,"NO","YES","NO","30  COVINGTON RD","NO","UNAVAILABLE","08","SINGLE PANE",1953,2017,4,"YES","YES",26,0,"Recycling bins","NO",0,"Post 1950"
10981,"NONE",NA,"YES","NO","0 indoor parking spots and 5 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Ground Level Garage , Surface Parking","YES",NA,"PRIVATE",4154568,"NO","YES","NO","417  WILSON AVE","NO","FREE","06","SINGLE PANE",1958,2017,3,"NO","YES",10,0,"Green Bin / Organics","NO",0,"Post 1950"
10982,"NONE",NA,"NO","NO","Not Available","YES","YES","YES","HOT WATER","NO","YES","NO",0,"Ground Level Garage , Surface Parking","YES","MANTLER MANAGEMENT LTD.","PRIVATE",4154584,"NO","YES","NO","11  ROSSEAU RD","NO","UNAVAILABLE","06","SINGLE PANE",1956,2017,3,"NO","NO",11,0,"Green Bin / Organics","NO",0,"Post 1950"
10983,"INDIVIDUAL UNITS",NA,"YES","NO","Not Available","NO","YES","NO","FORCED AIR GAS","YES","YES","YES",0,"Surface Parking","NO","KNRS PROPERTIES INC","PRIVATE",4154585,"NO","YES","NO","15  ROSSEAU RD","NO","UNAVAILABLE","06","DOUBLE PANE",1951,2017,3,"NO","NO",11,6,"Green Bin / Organics","NO",0,"Post 1950"
10984,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Surface Parking","NO","PROPERTY SERVICES INC.","PRIVATE",4155076,"NO","NO","NO","526  HARVIE AVE","NO","UNAVAILABLE","09","DOUBLE PANE",1960,2017,3,"NO","NO",29,0,"Recycling bins","NO",0,"Post 1950"
10985,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Surface Parking","NO","PROPERTY SERVICES INC.","PRIVATE",4155077,"NO","NO","NO","524  HARVIE AVE","NO","UNAVAILABLE","09","DOUBLE PANE",1960,2017,3,"NO","NO",29,0,"Recycling bins","NO",0,"Post 1950"
10986,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Ground Level Garage , Surface Parking","NO",NA,"PRIVATE",4155084,"NO","NO","NO","3  NASHVILLE AVE","NO","UNAVAILABLE","05","DOUBLE PANE",1957,2017,4,"NO","YES",21,0,"Green Bin / Organics","NO",0,"Post 1950"
10987,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Ground Level Garage , Surface Parking","NO","G&S REALTY INVESTMENTS INC.","PRIVATE",4155085,"NO","NO","NO","1650  KEELE ST","NO","UNAVAILABLE","05","DOUBLE PANE",1958,2017,4,"NO","NO",22,0,"Recycling bins","NO",0,"Post 1950"
10988,"NONE","Indoor recreation room , Outdoor rec facilities , Child play area","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"TCHC",4155589,"NO","NO","NO","245  DUNN AVE","YES","BOTH","04","DOUBLE PANE",1971,2017,20,"YES","YES",384,4,"Green Bin / Organics","NO",1,"Post 1950"
10989,"NONE","Indoor recreation room","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"TCHC",4155591,"NO","NO","NO","61  PELHAM PARK GDNS","YES","BOTH","09","DOUBLE PANE",1968,2017,17,"YES","YES",352,4,"Green Bin / Organics","NO",1,"Post 1950"
10990,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","TCH","TCHC",4155617,"NO","NO","NO","2999  JANE ST","YES","PAID","07","SINGLE PANE",1971,2017,15,"YES","YES",188,5,"Green Bin / Organics","NO",4,"Post 1950"
10991,"CENTRAL AIR","Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Sauna","YES","YES","25 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","NO","YES",3,"Underground Garage , Garage accessible thru buildg","YES","KG GROUP","PRIVATE",4156614,"NO","YES","NO","105  HARRISON GARDEN BLVD","YES","FREE","18","DOUBLE PANE",2010,2017,22,"YES","NO",332,4,"Green Bin / Organics","NO",40,"Post 1950"
10992,"NONE","Child play area","YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Ground Level Garage , Surface Parking","YES",NA,"PRIVATE",4156620,"NO","YES","NO","1  WINGREEN CRT","NO","UNAVAILABLE","16","DOUBLE PANE",1950,2017,3,"YES","NO",11,0,"Green Bin / Organics","NO",0,"Post 1950"
10993,"CENTRAL AIR","Indoor exercise room","YES","YES","24 indoor parking spots and 0 outdoor parking spots","YES","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Ground Level Garage","YES",NA,"PRIVATE",4156639,"NO","NO","NO","1761  SHEPPARD AVE E","YES","FREE","17","THERMAL",2010,2017,7,"YES","NO",74,2,"Green Bin / Organics","YES",0,"Post 1950"
10994,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg","YES","TCH","TCHC",4156706,"NO","NO","NO","230  SACKVILLE ST","YES","PAID","13","DOUBLE PANE",2013,2017,10,"YES","YES",155,4,"Green Bin / Organics","NO",4,"Post 1950"
10995,"NONE",NA,"YES","YES","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Ground Level Garage , Surface Parking","YES","SOWEIN APARTMENTS","PRIVATE",4154103,"NO","NO","NO","120  COSBURN AVE","NO","UNAVAILABLE","14","DOUBLE PANE",1950,2017,6,"NO","YES",57,0,"Green Bin / Organics","NO",2,"Post 1950"
10996,"NONE",NA,"NO","YES","Not Available","NO","YES","NO","FORCED AIR GAS","YES","YES","YES",0,"Ground Level Garage , Surface Parking","YES",NA,"PRIVATE",4154104,"NO","NO","NO","257  TORRENS AVE","YES","UNAVAILABLE","14","DOUBLE PANE",1950,2017,3,"NO","NO",17,8,"Green Bin / Organics","NO",2,"Post 1950"
10997,"NONE",NA,"YES","YES","0 indoor parking spots and 6 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking","YES","75 CO","PRIVATE",4154113,"NO","NO","NO","75  COSBURN AVE","YES","BOTH","14","DOUBLE PANE",1968,2018,12,"NO","NO",118,0,"Green Bin / Organics","NO",0,"Post 1950"
10998,"NONE","Indoor recreation room","YES","YES","Not Available","NO","YES","YES","FORCED AIR GAS","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","NO","GREENWIN INC.","SOCIAL HOUSING",4154620,"NO","NO","NO","15  TORRESDALE AVE","YES","FREE","06","DOUBLE PANE",1994,2017,7,"YES","NO",61,4,"Green Bin / Organics","NO",2,"Post 1950"
10999,"INDIVIDUAL UNITS",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",1,"Ground Level Garage , Surface Parking","NO",NA,"PRIVATE",4155107,"NO","YES","NO","1970  KEELE ST","YES","UNAVAILABLE","05","DOUBLE PANE",1960,2017,4,"NO","YES",45,45,"Green Bin / Organics","NO",0,"Post 1950"
11000,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Surface Parking","YES","EASTMONT INVESTMENTS","PRIVATE",4155116,"NO","NO","NO","7  GREENTREE CRT","NO","UNAVAILABLE","05","DOUBLE PANE",1953,2017,3,"NO","NO",28,20,"Green Bin / Organics","NO",0,"Post 1950"
11001,"CENTRAL AIR","Indoor recreation room","YES","YES","20 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking","YES","DMS PROPERTY MANAGEMENT LTD.","SOCIAL HOUSING",4155121,"NO","NO","NO","15  OXFORD DR","YES","FREE","05","SINGLE PANE",1982,2017,10,"YES","NO",174,1,"Green Bin / Organics","NO",5,"Post 1950"
11002,"NONE","Child play area","NO","NO","Not Available","YES","YES","NO","HOT WATER","NO","NO","NO",0,"Surface Parking","NO","2192443 ONTARIO INC","PRIVATE",4155126,"NO","NO","NO","1306  WESTON RD","NO","UNAVAILABLE","05","DOUBLE PANE",1957,2017,3,"NO","YES",11,4,"Green Bin / Organics","NO",0,"Post 1950"
11003,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","TCH","TCHC",4155625,"NO","NO","NO","20-50  FALSTAFF AVE","YES","PAID","05","SINGLE PANE",1970,2017,19,"YES","YES",224,6,"Green Bin / Organics","NO",5,"Post 1950"
11004,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",0,"Surface Parking","YES","TCH","TCHC",4155632,"NO","NO","NO","7  FLEMINGTON RD","YES","PAID","08","DOUBLE PANE",1957,2017,4,"NO","YES",30,3,"Green Bin / Organics","NO",1,"Post 1950"
11005,"NONE",NA,"YES","YES","Not Available","YES","YES","YES","HOT WATER","YES","YES","NO",0,"Surface Parking","YES","TCH","TCHC",4155639,"NO","NO","NO","22  VARNA DR","YES","PAID","08","DOUBLE PANE",1957,2017,3,"NO","YES",31,3,"Green Bin / Organics","NO",1,"Post 1950"
11006,"NONE",NA,"NO","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",0,"Surface Parking","YES","TCH","TCHC",4155640,"NO","NO","NO","20  VARNA DR","YES","PAID","08","DOUBLE PANE",1957,2017,3,"NO","YES",31,3,"Green Bin / Organics","NO",2,"Post 1950"
11007,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","TCH","TCHC",4155650,"NO","NO","NO","51  PARKWOODS VILLAGE DR","YES","PAID","16","DOUBLE PANE",1962,2017,7,"YES","YES",81,3,"Green Bin / Organics","NO",2,"Post 1950"
11008,"NONE",NA,"YES","YES","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Surface Parking","YES","D. RASCHILLA INVESTMENTS INC.","PRIVATE",4156720,"NO","YES","NO","327  DIXON RD","YES","FREE","02","DOUBLE PANE",1962,2017,6,"NO","NO",55,0,"Green Bin / Organics","NO",0,"Post 1950"
11009,"NONE","Indoor recreation room","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","DEL MANAGMENT","TCHC",4156756,"NO","NO","NO","2468  EGLINTON AVE W","YES","PAID","05","DOUBLE PANE",1989,2017,20,"YES","YES",210,6,"Green Bin / Organics","NO",5,"Post 1950"
11010,"NONE",NA,"YES","NO","0 indoor parking spots and 4 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","NO",1,"Ground Level Garage , Carport , Surface Parking","YES",NA,"PRIVATE",4154126,"NO","YES","NO","85  GAMBLE AVE","NO","UNAVAILABLE","14","DOUBLE PANE",1961,2017,6,"NO","NO",81,0,"Recycling bins","NO",0,"Post 1950"
11011,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","GREENWIN INC","PRIVATE",4154128,"NO","YES","NO","100  COSBURN AVE","YES","FREE","14","DOUBLE PANE",1961,2017,7,"NO","YES",140,10,"Recycling bins","NO",2,"Post 1950"
11012,"NONE","Child play area","YES","NO","0 indoor parking spots and 30 outdoor parking spots","YES","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg","YES","RANEE MANAGEMENT","PRIVATE",4154136,"NO","YES","NO","20  GAMBLE AVE","YES","BOTH","14","DOUBLE PANE",1964,2017,12,"NO","NO",213,3,"Green Bin / Organics","NO",0,"Post 1950"
11013,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","FORCED AIR GAS","YES","YES","YES",0,"Ground Level Garage","YES",NA,"PRIVATE",4154142,"NO","NO","NO","9  ELMSDALE RD","YES","UNAVAILABLE","14","DOUBLE PANE",1945,2017,4,"NO","NO",38,0,"Green Bin / Organics","NO",0,"1935-1950"
11014,"NONE","Indoor pool , Sauna","YES","NO","0 indoor parking spots and 20 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","PINEDALE PROPERTIES LTD","PRIVATE",4154630,"NO","YES","NO","5  FISHERVILLE RD","YES","FREE","06","DOUBLE PANE",1970,2017,17,"NO","YES",202,1,"Recycling bins","NO",0,"Post 1950"
11015,NA,NA,NA,NA,"indoor parking spots and  outdoor parking spots",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"PRIVATE",4154636,NA,NA,NA,"15  WILMINGTON AVE",NA,NA,"06","DOUBLE PANE",1958,NA,3,NA,NA,20,NA,"Not Available",NA,NA,"Post 1950"
11016,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","ELECTRIC","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4154641,"NO","YES","NO","12  GOLDFINCH CRT","YES","FREE","06","DOUBLE PANE",1969,2017,12,"YES","NO",143,1,"Green Bin / Organics","YES",143,"Post 1950"
11017,"NONE","Indoor recreation room","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4154642,"NO","YES","NO","4  GOLDFINCH CRT","YES","UNAVAILABLE","06","DOUBLE PANE",1969,2017,12,"YES","NO",95,0,"Green Bin / Organics","NO",95,"Post 1950"
11018,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Ground Level Garage , Surface Parking","YES","KIEPURA MANAGEMENT","PRIVATE",4154649,"NO","YES","NO","4854  BATHURST ST","YES","FREE","06","DOUBLE PANE",1961,2017,6,"NO","YES",71,0,"Green Bin / Organics","YES",71,"Post 1950"
11019,"INDIVIDUAL UNITS",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Surface Parking","YES",NA,"PRIVATE",4155144,"NO","NO","NO","135  WOODWARD AVE","NO","FREE","05","DOUBLE PANE",1955,2017,3,"NO","YES",10,13,"Green Bin / Organics","NO",0,"Post 1950"
11020,"NONE",NA,"NO","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",1,"Carport , Surface Parking","NO","COGIR MANAGEMENT CORPORATION","PRIVATE",4155154,"NO","YES","NO","2263  WESTON RD","NO","FREE","05","DOUBLE PANE",1957,2017,4,"NO","NO",34,0,"Green Bin / Organics","NO",0,"Post 1950"
11021,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","ELECTRIC","YES","YES","NO",1,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","TIMBERCREEK COMMUNITIES","PRIVATE",4155162,"NO","YES","NO","2360  WESTON RD","YES","UNAVAILABLE","05","DOUBLE PANE",1968,2018,6,"NO","NO",52,0,"Recycling bins","NO",0,"Post 1950"
11022,"NONE","Outdoor pool , Indoor exercise room","YES","YES","Not Available","NO","YES","YES","ELECTRIC","YES","YES","YES",3,"Underground Garage , Garage accessible thru buildg","YES","AMELIN PROPERTY MANAGEMENT","PRIVATE",4155662,"NO","YES","NO","22  CLOSE AVE","YES","PAID","04","DOUBLE PANE",1971,2017,23,"YES","NO",293,25,"Green Bin / Organics","NO",2,"Post 1950"
11023,"NONE","Indoor pool , Child play area","YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Carport , Surface Parking","YES","PINEDALE PROPERTIES LTD","PRIVATE",4155672,"NO","YES","NO","20  CARLUKE CRES","YES","FREE","15","DOUBLE PANE",1962,2017,12,"NO","YES",154,2,"Recycling bins","NO",0,"Post 1950"
11024,"NONE",NA,"YES","YES","Not Available","YES","YES","YES","HOT WATER","YES","YES","NO",1,"Surface Parking","YES","CANDO APARTMENTS LTD.","PRIVATE",4155683,"NO","YES","NO","3330  WESTON RD","YES","PAID","07","DOUBLE PANE",1960,2017,4,"YES","NO",97,7,"Recycling bins","NO",93,"Post 1950"
